,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,last_owned
0,SOLD,105000,3.0,2.0,0.12,Sector Yahuecas Titulo # V84,Adjuntas,Puerto Rico,601.0,920.0,Not Owned
1,SOLD,80000,4.0,2.0,0.08,Km 78 9 Carr # 135,Adjuntas,Puerto Rico,601.0,1527.0,Not Owned
2,SOLD,67000,2.0,1.0,0.15,556G 556-G 16 St,Juana Diaz,Puerto Rico,795.0,748.0,Not Owned
3,SOLD,145000,4.0,2.0,0.1,R5 Comunidad El Paraso Calle De Oro R-5 Ponce,Ponce,Puerto Rico,731.0,1800.0,Not Owned
4,SOLD,65000,6.0,2.0,0.05,14 Navarro,Mayaguez,Puerto Rico,680.0,1000.0,Not Owned
5,SOLD,179000,4.0,3.0,0.46,Bo Calabazas San Sebastian,San Sebastian,Puerto Rico,612.0,2520.0,Not Owned
6,SOLD,50000,3.0,1.0,0.2,49.1 140,Ciales,Puerto Rico,639.0,2040.0,Not Owned
7,SOLD,71600,3.0,2.0,0.08,3467 St,Ponce,Puerto Rico,731.0,1050.0,Not Owned
8,SOLD,100000,2.0,1.0,0.09,230 Rio De Vida,Ponce,Puerto Rico,730.0,1092.0,Not Owned
9,SOLD,300000,5.0,3.0,7.46,Pr 120 Bo Maravilla Sur K M # 335,Las Marias,Puerto Rico,670.0,5403.0,Not Owned
10,SOLD,89000,3.0,2.0,13.39,Km 3 4 Solar 457 Sr # 1,Isabela,Puerto Rico,662.0,1106.0,Not Owned
11,SOLD,150000,3.0,2.0,0.08,91 Del Rio,Juana Diaz,Puerto Rico,795.0,1045.0,Not Owned
12,SOLD,155000,3.0,2.0,0.1,Pr,Lares,Puerto Rico,669.0,4161.0,Not Owned
13,SOLD,79000,5.0,2.0,0.12,90 # A10,Utuado,Puerto Rico,641.0,1620.0,Not Owned
14,SOLD,649000,5.0,5.0,0.74,F118 Madrid St El Monte Iv Ext # Dev,Ponce,Puerto Rico,731.0,2677.0,Not Owned
15,SOLD,120000,3.0,2.0,0.08,10-K Alejandrina St,Yauco,Puerto Rico,698.0,1100.0,Not Owned
16,SOLD,235000,4.0,4.0,0.22,10 Calle Carrau # 3351,Mayaguez,Puerto Rico,680.0,3450.0,Not Owned
17,SOLD,105000,3.0,2.0,0.08,DD18 Calle 28,Ponce,Puerto Rico,728.0,1500.0,Not Owned
18,SOLD,575000,3.0,2.0,3.88,5.8 Carr 435 Km # 58,San Sebastian,Puerto Rico,685.0,4000.0,Not Owned
19,SOLD,140000,6.0,3.0,0.25,1 Bo Corcovada,Anasco,Puerto Rico,610.0,1230.0,Not Owned
20,SOLD,50000,2.0,1.0,0.23,Km 5 0 Carr # 374,Yauco,Puerto Rico,698.0,621.0,Not Owned
21,SOLD,165000,6.0,3.0,0.1,110 Concepcion Vera Ayala,Moca,Puerto Rico,676.0,3000.0,Not Owned
22,SOLD,189000,3.0,1.0,2.0,4C Calle Girasoles,Coamo,Puerto Rico,769.0,1213.0,Not Owned
23,SOLD,115000,3.0,2.0,0.08,17 Estancias Del Madrigal Apt 326,Ponce,Puerto Rico,716.0,1148.0,Not Owned
24,SOLD,122500,3.0,2.0,0.05,16 Muoz Rivera St,Yauco,Puerto Rico,698.0,1118.0,Not Owned
25,SOLD,255000,3.0,2.0,0.28,Rd 125 Km 15 8 Lot 1,San Sebastian,Puerto Rico,685.0,1500.0,Not Owned
